1,2
"(32.8328837, -117.1465924)","(32.8271444, -117.1540176)"
"(32.8328837, -117.1465924)","(32.8269782, -117.1488462)"
"(32.8328837, -117.1465924)","(32.8166401, -117.1500185)"
"(32.8328837, -117.1465924)","(37.072449, -110.0313596)"
"(32.8328837, -117.1465924)","(32.84487319999999, -117.1270973)"
"(32.8328837, -117.1465924)","(32.8242047, -117.1274958)"
"(32.8328837, -117.1465924)","(34.6222353, -117.2346253)"
"(32.8328837, -117.1465924)","(32.8332178, -117.1000931)"
"(32.8328837, -117.1465924)","(32.8212353, -117.1039542)"
"(26.6275522, -81.8723363)","(40.7785833, -73.9604646)"
"(26.6275522, -81.8723363)","(40.74921800000001, -73.487713)"
"(26.6275522, -81.8723363)","(42.1815159, -71.20338799999999)"
"(37.7676718, -122.4503583)","(42.3456679, -71.072746)"
"(37.7676718, -122.4503583)","(43.2225709, -88.10013839999999)"
"(37.8527929, -122.2526356)","(32.8032973, -117.033801)"
"(37.8527929, -122.2526356)","(32.782804, -117.0659967)"
"(37.8527929, -122.2526356)","(33.471697, -112.125751)"
"(37.8527929, -122.2526356)","(32.7707732, -117.0769362)"
"(37.8527929, -122.2526356)","(32.7576978, -117.0808503)"
"(37.8527929, -122.2526356)","(42.19899789999999, -71.1641868)"
"(37.8527929, -122.2526356)","(39.0598252, -76.71583679999999)"
"(37.8527929, -122.2526356)","(32.7352312, -117.0662403)"
"(32.7352312, -117.0662403)","(38.9145017, -94.3636547)"
"(32.7352312, -117.0662403)","(32.7345102, -117.0720418)"
"(32.7352312, -117.0662403)","(32.7388207, -117.0589838)"
"(32.7388207, -117.0589838)","(32.7352312, -117.0662403)"
"(32.7645434, -117.0834453)","(32.7707732, -117.0769362)"
"(32.7645434, -117.0834453)","(43.120847, -77.55838)"
"(40.6781085, -74.0060591)","(32.729633, -117.125282)"
"(40.6781085, -74.0060591)","(33.41074400000001, -86.62652039999999)"
