Primary Street,1st Cross Street,2nd Cross Street,Co1,Co2,2011,2012,2013,2014,2015
BLACK MOUNTAIN RD,GEMINI AVE,MIRA MESA BLVD,"(32.9193162, -117.1251136)","(32.9193162, -117.1251136)",29600,22300,22300,22300,22100
BLACK MOUNTAIN RD,MIRA MESA BLVD,GOLD COAST DR,"(32.917241, -117.1248799)","(32.917241, -117.1248799)",19700,20000,20000,20000,22500
BLACK MOUNTAIN RD,GOLD COAST DR,CARROLL CANYON RD,"(32.9053495, -117.1241885)","(32.9053495, -117.1241885)",28700,28700,28700,26900,28500
BLACK MOUNTAIN RD,CARROLL CANYON RD,CARROLL CENTRE RD,"(32.9027456, -117.1241047)","(32.9027456, -117.1241047)",24800,24800,24800,22600,23500
BLACK MOUNTAIN RD,CARROLL CENTRE RD,MIRAMAR RD,"(32.89861020000001, -117.1227239)","(32.89861020000001, -117.1227239)",13300,14500,14500,12600,12600
BLUFFSIDE AVE,MISSION BAY DR,PACIFICA DR,"(32.8095434, -117.2196059)","(32.8095434, -117.2196059)",13900,13900,13900,12800,11400
BOULDER LAKE AVE,JACKSON DR,SAN CARLOS DR,"(32.7935558, -117.0204672)","(32.7935558, -117.0204672)",1700,1700,1700,2300,2300
BOULDER LAKE AVE,SAN CARLOS DR,NAVAJO RD,"(32.8008579, -117.017932)","(32.8008579, -117.017932)",2700,2700,2700,2600,2600
BOULDER LAKE AVE,NAVAJO RD,COWLES MOUNTAIN RD,"(32.8033573, -117.0177408)","(32.8033573, -117.0177408)",2400,2400,2400,2300,2300
BOUNDARY ST,UNIVERSITY AVE,N. PARK WY/I-805 RAMP,"(32.748509, -117.1231364)","(32.748509, -117.1231364)",14900,14900,13000,13000,13000
BOUNDARY ST,N. PARK WY/I-805 RAMP,THORN ST,"(33.0658663, -117.1086788)","(33.0658663, -117.1086788)",3700,3700,2700,3600,3600
BOUNDARY ST,THORN ST,REDWOOD ST,"(32.7398514, -117.120209)","(32.7398514, -117.120209)",4200,4200,4200,4400,4400
BOUNDARY ST,REDWOOD ST,COMMONWEALTH AVE,"(32.7374362, -117.1193895)","(32.7374362, -117.1193895)",3600,3600,3600,3700,3700
BRIARWOOD RD,BROOKHAVEN RD,PARADISE VALLEY RD,"(32.694257, -117.037448)","(32.694257, -117.037448)",4900,4900,4800,4800,4800
BRIARWOOD RD,PARADISE VALLEY RD,ALSACIA ST,"(32.6917996, -117.0367916)","(32.6917996, -117.0367916)",7800,7800,7800,8100,8100
BRIARWOOD RD,ALSACIA ST,ALTA VIEW DR,"(32.685045, -117.0354157)","(32.685045, -117.0354157)",13800,13800,13800,13300,13300
BRITANNIA BLVD,OTAY MESA RD,AIRWAY RD,"(32.5680593, -116.9798161)","(32.5680593, -116.9798161)",31500,31500,31500,13600,13600
BRITANNIA BLVD,AIRWAY RD,SIEMPRE VIVA RD,"(32.5606678, -116.9797101)","(32.5606678, -116.9797101)",6900,6900,6900,7900,7900
BROADWAY,HARBOR DR (N),PACIFIC HWY,"(32.7156471, -117.1729499)","(32.7156471, -117.1729499)",6700,6700,6700,3900,3900
BROADWAY,PACIFIC HWY,KETTNER BLVD,"(32.7156437, -117.1711944)","(32.7156437, -117.1711944)",10200,10200,10200,10200,6000
BROADWAY,KETTNER BLVD,INDIA ST,"(32.7156527, -117.1692069)","(32.7156527, -117.1692069)",13700,13700,13700,12100,12100
BROADWAY,INDIA ST,FRONT ST,"(32.7157757, -117.1683057)","(32.7157757, -117.1683057)",16100,15900,15900,15900,15900
BROADWAY,FRONT ST,1ST AVE,"(32.7157546, -117.164713)","(32.7157546, -117.164713)",18100,18100,18100,19000,19000
BROADWAY,1ST AVE,4TH AVE,"(32.7157647, -117.1638054)","(32.7157647, -117.1638054)",19200,19200,19200,19900,19900
BROADWAY,4TH AVE,5TH AVE,"(32.7156498, -117.1610926)","(32.7156498, -117.1610926)",16000,15800,15800,15800,15800
BROADWAY,5TH AVE,10TH AVE,"(32.7157397, -117.1601681)","(32.7157397, -117.1601681)",16600,14900,14900,11900,9400
BROADWAY,10TH AVE,11TH AVE,"(32.7156815, -117.1555951)","(32.7156815, -117.1555951)",12000,11000,11000,11000,11000
BROADWAY,11TH AVE,PARK BLVD,"(32.7157012, -117.1547108)","(32.7157012, -117.1547108)",9600,9200,9200,9200,9200
BROADWAY,PARK BLVD,16TH ST,"(32.7157768, -117.1538378)","(32.7157768, -117.1538378)",7300,7300,7300,8400,8400
BROADWAY,16TH ST,INTERSTATE 5,"(32.7157661, -117.1494884)","(32.7157661, -117.1494884)",7500,8100,8100,7800,7800
BROADWAY,INTERSTATE 5,25TH ST,"(32.6275301, -117.0881123)","(32.6275301, -117.0881123)",5000,5000,5000,7200,7200
BROADWAY,25TH ST,28TH ST,"(32.715825, -117.1402802)","(32.715825, -117.1402802)",2500,2500,2500,3500,3500
BROADWAY,28TH ST,30TH ST,"(32.7158434, -117.1337654)","(32.7158434, -117.1337654)",3200,3200,3200,3500,3800
BROADWAY,30TH ST,ROUTE 94,"(32.7158584, -117.1295872)","(32.7158584, -117.1295872)",14100,14100,14100,14100,14100
BROADWAY,60TH ST/MERLIN DR,KLAUBER AVE/65TH ST,"(32.7153236, -117.067982)","(32.7153236, -117.067982)",2100,2100,2100,2400,2400
BROADWAY CIR (1-WAY),BROADWAY (E),BROADWAY (W),"(32.715749, -117.1619877)","(32.715749, -117.1619877)",6600,6600,6600,3900,4400
BROOKHAVEN RD,BRIARWOOD RD,MEADOWBROOK DR,"(32.694257, -117.037448)","(32.694257, -117.037448)",2300,2300,2300,2900,2900
BUENOS AVE,MORENA BLVD,WEST MORENA BLVD,"(32.7690441, -117.2003937)","(32.7690441, -117.2003937)",3300,3300,3300,3600,3600
BURGENER BLVD,CLAIREMONT DR,FIELD ST,"(32.7944506, -117.1942593)","(32.7944506, -117.1942593)",11500,11500,11500,10700,10700
BURGENER BLVD,FIELD ST,MILTON ST,"(32.793415, -117.193604)","(32.793415, -117.193604)",4200,4200,4200,3500,3500
BUSINESSPARK AVE,CARROLL CANYON RD,WILLOW CREEK RD,"(32.9036298, -117.1116338)","(32.9036298, -117.1116338)",7500,6400,6400,6400,7400
C ST,FRONT ST,1ST AVE,"(32.7167856, -117.1647477)","(32.7167856, -117.1647477)",1800,1800,1800,1800,1800
C ST,9TH AVE,10TH AVE,"(32.716808, -117.1565424)","(32.716808, -117.1565424)",1700,1700,1700,1800,1800
C ST,10TH AVE,11TH AVE,"(32.7168273, -117.1556336)","(32.7168273, -117.1556336)",3600,3600,3600,4500,4500
C ST,11TH AVE,PARK BLVD,"(32.7168273, -117.1547243)","(32.7168273, -117.1547243)",3800,3800,3800,3700,3700
C ST,PARK BLVD,16TH ST,"(32.7167975, -117.1537103)","(32.7167975, -117.1537103)",9700,9400,9400,9400,9400
C ST,16TH ST,INTERSTATE 5,"(32.7168187, -117.1495036)","(32.7168187, -117.1495036)",8300,8300,8300,9100,9100
C ST,INTERSTATE 5,25TH ST,"(32.716338, -117.1482643)","(32.716338, -117.1482643)",3300,3300,3300,3300,3300
C ST,25TH ST,30TH ST,"(32.7168568, -117.1402948)","(32.7168568, -117.1402948)",3700,3700,3700,3400,3400
CABLE ST,WEST POINT LOMA BLVD,VOLTAIRE ST,"(32.7516617, -117.2443302)","(32.7516617, -117.2443302)",8300,6000,6000,6000,5100
CABLE ST,VOLTAIRE ST,NEWPORT AVE,"(32.7509845, -117.2449169)","(32.7509845, -117.2449169)",4700,4700,4700,4700,4700
CABLE ST,NEWPORT AVE,NARRAGANSETT AVE,"(32.7458016, -117.249336)","(32.7458016, -117.249336)",4300,4300,4300,5400,5400
CABOT DR,ARJONS DR,MIRAMAR RD,"(32.8944695, -117.1439385)","(32.8944695, -117.1439385)",4400,4400,3500,3500,3900
CABRILLO MEM DR{RT 209},MILITARY GATE,LIGHTHOUSE,"(32.6848356, -117.12999)","(32.6848356, -117.12999)",7800,7800,7800,2000,2000
CACTUS RD,OTAY MESA RD,CAMINO MAQUILADORA,"(32.56817700000001, -116.9883048)","(32.56817700000001, -116.9883048)",7400,7400,7400,3000,3000
CACTUS RD,CAMINO MAQUILADORA,AIRWAY RD,"(32.56683280000001, -116.9882954)","(32.56683280000001, -116.9882954)",4700,4700,4700,4700,4700
CACTUS RD,AIRWAY RD,SIEMPRE VIVA RD,"(32.5606152, -116.9883803)","(32.5606152, -116.9883803)",3200,3200,3200,2600,2600
CALLAN RD,N TORREY PINES RD,TORREYANA RD,"(32.9045559, -117.242154)","(32.9045559, -117.242154)",2000,2000,2000,2000,2000
CALLE CRISTOBAL,CAMINO SANTA FE,ACAMA CT,"(32.9187238, -117.1779869)","(32.9187238, -117.1779869)",12200,12200,13600,13600,13600
CALLE CRISTOBAL,ACAMA CT,CAMINO RUIZ,"(32.9271688, -117.1552686)","(32.9271688, -117.1552686)",10700,10700,10700,10700,10700
CALLE DE LAS ROSA,SALMON RIVER RD,RANCHO PENASQUITOS BLVD,"(32.9512328, -117.1202478)","(32.9512328, -117.1202478)",3000,3000,3000,3600,3600
CALLE PRIMERA,VIA SEGUNDO,VIA SAN YSIDRO/I-5,"(32.554148, -117.0528389)","(32.554148, -117.0528389)",9500,9500,9500,9500,9500
CALLE PRIMERA,VIA SAN YSIDRO/I-5,WILLOW RD,"(32.5508534, -117.0458521)","(32.5508534, -117.0458521)",12300,8400,8400,7200,7200
CAMINO DE LA PLAZA,WILLOW RD,I-5 (SB RAMP)/CAMIONES WY,"(32.5454479, -117.0426214)","(32.5454479, -117.0426214)",18200,18200,18200,17200,17200
CAMINO DE LA REINA,HOTEL CIRCLE (N),AVENIDA DEL RIO (RT 163),"(32.7617243, -117.1666055)","(32.7617243, -117.1666055)",10000,15300,15300,15300,15300
CAMINO DE LA REINA,AVENIDA DEL RIO (RT 163),CAMINO DE LA SIESTA,"(32.7658642, -117.1641493)","(32.7658642, -117.1641493)",7300,7300,7300,16000,16000
CAMINO DE LA REINA,CAMINO DE LA SIESTA,MISSION CENTER RD,"(32.7664853, -117.1607794)","(32.7664853, -117.1607794)",14100,13800,13800,13800,17200
CAMINO DE LA REINA,MISSION CENTER RD,QUALCOMM WAY,"(32.7680903, -117.1539421)","(32.7680903, -117.1539421)",16400,14700,14700,14700,14500
CAMINO DEL ARROYO,CAMINO DE LA REINA,CAMINO DEL RIO NORTH,"(32.7669355, -117.1583783)","(32.7669355, -117.1583783)",3000,3000,3000,3000,3000
CAMINO DEL ESTE,CAMINO DE LA REINA,CAMINO DEL RIO NORTH,"(32.7709375, -117.1442055)","(32.7709375, -117.1442055)",10800,10400,10400,9700,9700
CAMINO DEL NORTE,CAMINO SAN BERNARDO(C.L.),BERNARDO CENTER DR,"(33.0144039, -117.1057616)","(33.0144039, -117.1057616)",29800,30000,30000,30000,31800
CAMINO DEL NORTE,BERNARDO CENTER DR,PASEO MONTANOSO,"(33.0051686, -117.0924771)","(33.0051686, -117.0924771)",54700,54700,54700,40000,40000
CAMINO DEL NORTE,PASEO MONTANOSO,INTERSTATE 15,"(33.0002607, -117.0867445)","(33.0002607, -117.0867445)",44100,44100,44100,44500,44500
CAMINO DEL NORTE,INTERSTATE 15,CARMEL MOUNTAIN RD,"(32.9993141, -117.0833263)","(32.9993141, -117.0833263)",54400,54400,54400,45700,45700
CAMINO DEL NORTE,CARMEL MOUNTAIN RD,WORLD TRADE DR (C.L.),"(32.990767, -117.0721554)","(32.990767, -117.0721554)",42200,42200,42200,30000,30000
CAMINO DEL RIO NORTH,MISSION CENTER RD,I-8 RAMPS,"(32.7669327, -117.153284)","(32.7669327, -117.153284)",30900,26600,26600,26200,25800
CAMINO DEL RIO NORTH,QUALCOMM WAY,MISSION CITY PKWY,"(32.7713521, -117.14012)","(32.7713521, -117.14012)",9300,11500,11500,10300,12300
CAMINO DEL RIO NORTH,MISSION CITY PKWY,WARD RD (I-15),"(32.7767802, -117.1256987)","(32.7767802, -117.1256987)",7200,6800,6800,6800,6800
CAMINO DEL RIO NORTH,WARD RD (I-15),FAIRMOUNT AVE,"(32.7799614, -117.1104185)","(32.7799614, -117.1104185)",10600,10300,10300,10300,11000
CAMINO DEL RIO SOUTH,ROUTE 163,AUTO CIR,"(32.7698206, -117.1333063)","(32.7698206, -117.1333063)",9700,9700,9700,7600,4000
CAMINO DEL RIO SOUTH,AUTO CIR,TEXAS ST,"(32.7643968, -117.1540622)","(32.7643968, -117.1540622)",4900,6100,6100,5900,5900
CAMINO DEL RIO SOUTH,TEXAS ST,INTERSTATE 805,"(32.7673529, -117.1392243)","(32.7673529, -117.1392243)",13300,13300,13300,11000,11000
CAMINO DEL RIO SOUTH,INTERSTATE 805,INTERSTATE 15,"(32.7813737, -117.1139189)","(32.7813737, -117.1139189)",10600,10900,10900,10900,10900
CAMINO DEL RIO SOUTH,INTERSTATE 15,FAIRMOUNT AVE,"(32.784066, -117.1145042)","(32.784066, -117.1145042)",5900,5100,4700,5800,6000
CAMINO DEL RIO(W){RT 209},INTERSTATE 5,KURTZ ST,"(32.7600713, -117.2009717)","(32.7600713, -117.2009717)",58400,58500,58500,57900,60400
CAMINO DEL RIO(W){RT 209},KURTZ ST,SPORTS ARENA BLVD,"(32.7530023, -117.2050191)","(32.7530023, -117.2050191)",56200,49700,49700,49700,49700
CAMINO DEL SUR,TORREY SANTA FE RD,ROUTE 56,"(32.9567298, -117.152999)","(32.9567298, -117.152999)",9900,9900,9900,10700,11000
CAMINO DEL SUR,ROUTE 56,CARMEL VALLEY RD,"(32.9578658, -117.1530176)","(32.9578658, -117.1530176)",18500,18500,18500,18500,18500
CAMINO DEL SUR,CARMEL VALLEY RD,CAMINITO LAZANJA,"(32.9760014, -117.1462177)","(32.9760014, -117.1462177)",11800,11800,11800,12000,12000
CAMINO RUIZ,CALLE CRISTOBAL,SANTA ARMINITA/AQUARIUS,"(32.9319426, -117.1446802)","(32.9319426, -117.1446802)",10500,10500,10500,8900,8900
CAMINO RUIZ,ZAPATA AVE,CAPRICORN WY,"(32.9272902, -117.1440038)","(32.9272902, -117.1440038)",13500,13500,13500,13500,13500
CAMINO RUIZ,CAPRICORN WY,WESTMORE RD,"(32.9250356, -117.1439265)","(32.9250356, -117.1439265)",18500,18500,18500,21500,21000
CAMINO RUIZ,WESTMORE RD,MIRA MESA BLVD,"(32.9178215, -117.14402)","(32.9178215, -117.14402)",21700,23300,23300,23000,21900
CAMINO RUIZ,MIRA MESA BLVD,GOLD COAST DR,"(32.9126209, -117.1439594)","(32.9126209, -117.1439594)",17800,18800,18800,20600,21300
CAMINO RUIZ,GOLD COAST DR,MIRAMAR RD,"(32.9053333, -117.1460647)","(32.9053333, -117.1460647)",23700,23700,23700,22400,23000
CAMINO SANTA FE,SORRENTO VALLEY BLVD,MIRA MESA BLVD,"(32.9187238, -117.1779869)","(32.9187238, -117.1779869)",9100,9100,9100,9400,9400
CAMINO SANTA FE,MIRA MESA BLVD,FLANDERS DR,"(32.9074873, -117.1713807)","(32.9074873, -117.1713807)",15500,15500,15500,15500,15500
CAMINO SANTA FE,TRADE ST,CARROLL RD,"(32.8886135, -117.1676222)","(32.8886135, -117.1676222)",16800,16800,20900,19500,19500
CAMINO SANTA FE,CARROLL RD,COMMERCE AVE,"(32.8854397, -117.1670795)","(32.8854397, -117.1670795)",22500,22500,22500,27400,26900
CAMINO SANTA FE,COMMERCE AVE,MIRAMAR RD,"(32.8824431, -117.1680921)","(32.8824431, -117.1680921)",27600,27600,27600,26900,24900
CAMPANILE DR,SDSU,MONTEZUMA RD,"(32.77572170000001, -117.0718893)","(32.77572170000001, -117.0718893)",7700,7700,7500,7500,7500
CAMPANILE DR,MONTEZUMA RD,BAJA DR,"(32.7707596, -117.0718396)","(32.7707596, -117.0718396)",4400,4400,3200,3200,3200
CAMPUS POINT CT,BEGIN,CAMPUS POINT DR,"(32.887273, -117.224092)","(32.887273, -117.224092)",3300,3300,3300,2500,2500
CAMPUS POINT DR,GENESEE AVE,CAMPUS POINT CT,"(32.882127, -117.2201356)","(32.882127, -117.2201356)",11000,11000,8500,9100,7900
CANON ST,SCOTT ST,ROSECRANS ST,"(32.7208684, -117.2308518)","(32.7208684, -117.2308518)",6700,6400,6400,6400,5800
CANON ST{ROUTE 209},ROSECRANS ST,LOCUST ST,"(32.7214823, -117.2318406)","(32.7214823, -117.2318406)",10100,10100,10100,11600,11600
CANON ST{ROUTE 209},LOCUST ST,EVERGREEN ST,"(33.2214604, -97.1325549)","(33.2214604, -97.1325549)",11500,11500,11500,12800,12800
CANON ST{ROUTE 209},EVERGREEN ST,POINT LOMA AVE,"(32.7227205, -117.2338646)","(32.7227205, -117.2338646)",11200,11200,11200,10400,10400
CANON ST{ROUTE 209},POINT LOMA AVE,ULLMAN ST,"(32.7278912, -117.2404157)","(32.7278912, -117.2404157)",9600,9600,9600,11600,8600
CANON ST{ROUTE 209},ULLMAN ST,TALBOT ST,"(32.5678422, -117.062515)","(32.5678422, -117.062515)",8500,8500,8500,10800,10800
CANON ST{ROUTE 209},TALBOT ST,CATALINA BLVD,"(32.7222922, -117.2436554)","(32.7222922, -117.2436554)",9600,9600,9600,9100,8700
CAPRICORN WAY,CAMINO RUIZ,WESTONHILL DR,"(32.9250356, -117.1439265)","(32.9250356, -117.1439265)",7700,7700,6200,7900,7900
CAPRICORN WAY,WESTONHILL DR,POLARIS DR,"(32.9242007, -117.1356667)","(32.9242007, -117.1356667)",7100,7100,7100,7800,7800
CAPRICORN WAY,POLARIS DR,BLACK MOUNTAIN RD,"(32.9249361, -117.1307608)","(32.9249361, -117.1307608)",13900,13900,13900,15200,9900
CAPRICORN WAY,BLACK MOUNTAIN RD,WESTVIEW PKWY,"(32.9242978, -117.124464)","(32.9242978, -117.124464)",5200,5200,5200,5200,5200
CARDENO DR,NAUTILUS ST,VIA CABRERA,"(32.8337869, -117.2492868)","(32.8337869, -117.2492868)",5800,5800,5800,5800,5800
CARDENO DR,VIA CABRERA,ALTA LA JOLLA DR,"(32.8330902, -117.2479888)","(32.8330902, -117.2479888)",5600,5600,5600,5400,5400
CARDIFF ST,JAMACHA RD,SAN VICENTE ST,"(32.7177984, -117.0258986)","(32.7177984, -117.0258986)",7600,8800,8800,8800,8800
CARDIFF ST,SAN VICENTE ST,SKYLINE DR,"(32.71231480000001, -117.0244058)","(32.71231480000001, -117.0244058)",5400,5300,5300,5300,5100
CARDINAL RD,GENESEE AVE,MACAW LN,"(32.7922831, -117.1572677)","(32.7922831, -117.1572677)",7300,7300,7300,5400,5400
CARGILL AVE,DECORO ST,ARRIBA ST,"(32.8641268, -117.216476)","(32.8641268, -117.216476)",5900,5900,5900,6300,6300
CARMEL CANYON RD,DEL MAR HEIGHTS RD,CARMEL KNOLLS DR,"(32.9557673, -117.2136563)","(32.9557673, -117.2136563)",5700,5700,5800,5800,5800
CARMEL CANYON RD,CARMEL KNOLLS DR,CARMEL COUNTRY RD,"(32.9497022, -117.2132011)","(32.9497022, -117.2132011)",12000,12000,12000,11800,11800
CARMEL COUNTRY RD,DEL MAR HEIGHTS RD,TOWNSGATE DR,"(32.9554415, -117.229761)","(32.9554415, -117.229761)",15800,15800,15800,13700,13500
CARMEL COUNTRY RD,TOWNSGATE DR,CARMEL CREEK RD,"(32.9527523, -117.2289956)","(32.9527523, -117.2289956)",12400,12400,12400,12600,12600
CARMEL COUNTRY RD,CARMEL CREEK RD,CARMEL CANYON RD,"(32.947139, -117.2269046)","(32.947139, -117.2269046)",9600,9600,9600,9600,9300
CARMEL COUNTRY RD,CARMEL CANYON RD,ROUTE 56,"(32.9453214, -117.2170901)","(32.9453214, -117.2170901)",19900,19900,19900,16700,16700
CARMEL CREEK RD,PASEO MONTANAS,CARMEL COUNTRY RD,"(32.9481784, -117.225792)","(32.9481784, -117.225792)",4900,4900,4900,4800,4800
CARMEL CREEK RD,CARMEL COUNTRY RD,CARMEL GROVE RD,"(32.947139, -117.2269046)","(32.947139, -117.2269046)",13000,13000,13000,11900,11900
CARMEL CREEK RD,CARMEL GROVE RD,CARMEL VALLEY RD,"(32.9423389, -117.2306643)","(32.9423389, -117.2306643)",14700,14700,14700,14000,16300
CARMEL GROVE RD,CARMEL VIEW RD,CARMEL CREEK RD,"(32.942585, -117.2324598)","(32.942585, -117.2324598)",3700,3700,3700,4600,4600
CARMEL KNOLLS DR,CARMEL CANYON RD,ASHLEY FALLS DR,"(32.9497022, -117.2132011)","(32.9497022, -117.2132011)",6000,6000,6000,7800,7800
CARMEL MOUNTAIN RD,SORRENTO VALLEY RD,VISTA SORRENTO PKWY,"(32.9162893, -117.2371399)","(32.9162893, -117.2371399)",25500,25500,25500,28300,28300
CARMEL MOUNTAIN RD,VISTA SORRENTO PKWY,EL CAMINO REAL,"(32.9206362, -117.2307697)","(32.9206362, -117.2307697)",18600,18600,18600,22000,22000
CARMEL MOUNTAIN RD,SUNDANCE AVE (W),TWIN TRAILS DR,"(32.9631927, -117.1300759)","(32.9631927, -117.1300759)",11700,11700,11700,11700,11700
CARMEL MOUNTAIN RD,TWIN TRAILS DR,SUNDANCE AVE (E),"(32.96346620000001, -117.133992)","(32.96346620000001, -117.133992)",6900,6900,8100,8100,8100
CARMEL MOUNTAIN RD,SUNDANCE AVE (E),BLACK MOUNTAIN RD,"(32.9631927, -117.1300759)","(32.9631927, -117.1300759)",6400,6400,4600,8100,8100
CARMEL MOUNTAIN RD,BLACK MOUNTAIN RD,SUNDEVIL WY,"(32.9633851, -117.1266154)","(32.9633851, -117.1266154)",13500,13500,13500,13300,13300
CARMEL MOUNTAIN RD,SUNDEVIL WY,PASEO MONTALBAN,"(32.9654834, -117.1199158)","(32.9654834, -117.1199158)",14400,14400,18200,18200,18200
CARMEL MOUNTAIN RD,PASEO MONTALBAN,RANCHO PENASQUITOS BLVD,"(32.9623605, -117.1179992)","(32.9623605, -117.1179992)",22200,22200,21800,21800,21800
CARMEL MOUNTAIN RD,RANCHO PENASQUITOS BLVD,PENASQUITOS DR,"(32.9595202, -117.1155271)","(32.9595202, -117.1155271)",16100,25200,25200,16300,16100
CARMEL MOUNTAIN RD,PENASQUITOS DR,INTERSTATE 15,"(32.9775607, -117.090327)","(32.9775607, -117.090327)",25000,25000,25000,25000,25000
CARMEL MOUNTAIN RD,INTERSTATE 15,RANCHO CARMEL DR (W),"(32.977292, -117.0879049)","(32.977292, -117.0879049)",47900,47900,47900,44900,44900
CARMEL MOUNTAIN RD,RANCHO CARMEL DR (W),HIGHLAND RANCH RD,"(32.988378, -117.0751539)","(32.988378, -117.0751539)",32400,32900,32900,32900,34600
CARMEL MOUNTAIN RD,HIGHLAND RANCH RD,CAMINO DEL NORTE,"(32.9830822, -117.0762549)","(32.9830822, -117.0762549)",35000,23600,23600,32800,29900
CARMEL VALLEY RD,VIA MAR VALLE,CAMINITO DEL BARCO,"(32.9390257, -117.2581114)","(32.9390257, -117.2581114)",9600,9600,9600,10100,10100
CARMEL VALLEY RD,CAMINITO DEL BARCO,DEL MAR SCENIC PKWY,"(32.9377966, -117.2576232)","(32.9377966, -117.2576232)",9500,9500,9500,10500,10400
CARMEL VALLEY RD,DEL MAR SCENIC PKWY,SORRENTO VALLEY RD,"(32.9359721, -117.2573389)","(32.9359721, -117.2573389)",14100,14100,14100,14100,12400
CARMEL VALLEY RD,SORRENTO VALLEY RD,INTERSTATE 5,"(32.9313741, -117.2430536)","(32.9313741, -117.2430536)",13300,13300,13300,9900,9900
CARMEL VALLEY RD,INTERSTATE 5,EL CAMINO REAL,"(32.9309028, -117.2413401)","(32.9309028, -117.2413401)",44900,41600,41600,41600,43200
CARMEL VALLEY RD,RANCHO SANTA FE FARMS RD,CAMINITO VISTANA,"(32.9681752, -117.1784203)","(32.9681752, -117.1784203)",9800,9800,9800,11300,11300
CARMEL VALLEY RD,CAMINITO VISTANA,CAMINO SUR,"(32.9709262, -117.1562518)","(32.9709262, -117.1562518)",10200,10200,10200,10800,10800
CARMEL VALLEY RD,CAMINO SUR,BLACK MOUNTAIN RD,"(32.9941444, -117.1189128)","(32.9941444, -117.1189128)",11600,11600,11600,12600,12600
CARROLL CANYON RD,SCRANTON RD,CARROLL RD,"(32.8898131, -117.2010026)","(32.8898131, -117.2010026)",6600,6600,9300,9300,9300
CARROLL CANYON RD,BLACK MOUNTAIN RD,INTERSTATE 15,"(32.9027456, -117.1241047)","(32.9027456, -117.1241047)",13400,13400,13400,11600,16000
CARROLL CANYON RD,INTERSTATE 15,BUSINESS PARK AVE,"(32.9019964, -117.1168899)","(32.9019964, -117.1168899)",16800,16800,16800,17200,17200
CARROLL CANYON RD,BUSINESS PARK AVE,SCRIPPS RANCH BLVD,"(32.9036298, -117.1116338)","(32.9036298, -117.1116338)",13200,12200,12200,12200,12100
CARROLL RD,CARROLL CANYON RD,CAMINO SANTA FE,"(32.8920642, -117.1852357)","(32.8920642, -117.1852357)",14800,6500,6500,6500,7900
CARROLL RD,CAMINO SANTA FE,DISTRIBUTION AVE,"(32.8854397, -117.1670795)","(32.8854397, -117.1670795)",10000,10000,10000,6400,6400
CARROLL RD,DISTRIBUTION AVE,MIRAMAR RD,"(32.885738, -117.163116)","(32.885738, -117.163116)",13700,13700,13700,6400,12400
CASS ST,TURQUOISE ST,LORING ST,"(32.80942590000001, -117.2555185)","(32.80942590000001, -117.2555185)",6400,6400,6400,3000,6500
CASS ST,LORING ST,GARNET AVE,"(32.805774, -117.2544052)","(32.805774, -117.2544052)",7500,6400,6400,6400,8100
CASS ST,GARNET AVE,GRAND AVE,"(32.7973659, -117.251828)","(32.7973659, -117.251828)",9600,9600,9600,8700,5700
CASS ST,GRAND AVE,PACIFIC BEACH DR,"(32.7955368, -117.2512738)","(32.7955368, -117.2512738)",3600,3600,3600,2700,4100
CATALINA BLVD,VOLTAIRE ST,NARRAGANSETT AVE,"(32.7437416, -117.2348145)","(32.7437416, -117.2348145)",13800,13800,13800,17100,17100
CATALINA BLVD,NARRAGANSETT AVE,CHATSWORTH BLVD,"(32.7367421, -117.2388075)","(32.7367421, -117.2388075)",11400,11800,11800,11800,11400
CATALINA BLVD,CHATSWORTH BLVD,SANTA BARBARA ST/HILL ST,"(32.7307105, -117.2431428)","(32.7307105, -117.2431428)",19600,19600,19600,20100,20100
CATALINA BLVD,SANTA BARBARA ST/HILL ST,TALBOT ST,"(32.723675, -117.245209)","(32.723675, -117.245209)",14700,15200,15200,15200,17200
CATALINA BLVD,TALBOT ST,CANON ST,"(32.7226745, -117.2454762)","(32.7226745, -117.2454762)",12000,12000,12000,12000,12000
CATALINA BLVD,CANON ST,MILITARY GATE,"(32.7205053, -117.2460591)","(32.7205053, -117.2460591)",15100,15100,15100,15100,13300
CATOCTIN DR,63RD ST,MONTEZUMA RD,"(32.7658929, -117.0627065)","(32.7658929, -117.0627065)",2300,2300,2300,2200,2200
CEDAR ST,PACIFIC HWY,1ST AVE,"(32.7219598, -117.1711035)","(32.7219598, -117.1711035)",5100,5100,5100,3700,2800
CEDAR ST,2ND AVE,6TH AVE,"(32.7219318, -117.1629511)","(32.7219318, -117.1629511)",6700,6700,6800,6100,6100
CELIA VISTA DR,VISTA GRANDE DR,ARAGON DR,"(32.750306, -117.0538617)","(32.750306, -117.0538617)",2700,2700,2700,2700,2700
CELIA VISTA DR,ARAGON DR,69TH ST,"(32.7502782, -117.0519966)","(32.7502782, -117.0519966)",2800,2800,2800,2800,2800
CENTRAL AVE,UNIVERSITY AVE,REDWOOD ST,"(32.7508163, -117.108364)","(32.7508163, -117.108364)",5500,5500,5500,5700,5700
CESAR CHAVEZ PKWY,HARBOR DR,MAIN ST,"(32.6983163, -117.1473404)","(32.6983163, -117.1473404)",10700,10700,10700,12700,11200
CESAR CHAVEZ PKWY,MAIN ST,NATIONAL AVE,"(32.6990344, -117.1466185)","(32.6990344, -117.1466185)",15200,15200,15200,14200,14100
